اشکبار	aSkbAr
هپاتیت	hepAtit
نکته‌سنج	noktesanj
مردم‌سالار	mardomsAlAr
معطلی	moattali
انتفاع	entefa
ضایعه	zAyee
نگاشته	negASte
طنین	tanin
دیابتی	diyAbeti
بدگویی	badgouyi
حشره	haSare
صائبی	sAebi
آتاکسی	AtAksi
انعطاف‌پذیر	enetAfpazir
سرآغاز	sarAghAz
برودری	borodri
هر‌روز	harrouz
گیل	gil
گندمی	gandomi
چوبی	Cubi
دورو	doru
شگون	shougoun
مرکبان	morakkaban
طلاکوب	talakoub
نشاط‌انگیز	neshatangiz
آوینیون	aviniyon
فنیل	fenil
ظروفچی	zoroufchi
انحاء	eanha
پرولتاریا	poroltarya
متاس‌تاز	metastaz
آموزش‌پذیری	amouzeshpaziri
اتصاف	ettesaf
اشتراکی‌سازی	eshterakisazi
سود‌‌رسانی	soudresani
فلدسپار	feldespar
عناصر	anasor
شتا	shata
سیمان	siman
نسناس	nasnas
شفق	shafagh
تشعشع	tashasho
الکترود	elekterod
گرمایی	garmayi
پشتو	pashtu
واکنش‌سازی	vakoneshsazi
صندل	sandal
بی‌پروا	biparva
الله‌و‌‌ردیخان	allahverdikhan
حیرت‌زده	heiratzade
یخزار	yakhzar
گوشت‌خواران	goushtkharan
خنگی	khengi
اکسپرسیونیستی	ekspersiyonisti
کدیور	kadivar
دستکاری	dastkari
وج	vaj
آده	ade
راحت‌افزا	rahatafza
صفدر	safdar
محاذات	mohazat
لبنانی	lobnani
مواج	mavvaj
برآورده	baravarde
نجا‌ت‌اللهی	nejatollahi
الهی‌قمشه‌ای	elahieghomshei
بی‌پروایی	biparvayi
افریقایی	afrighayi
ذوق‌زده	zoughzade
بین‌کهکشانی	beynekahkeshani
آفتومات	aftomat
برنهاد	barnahad
توپدار	toupdar
مبدل	mobaddal
رگبندی	ragbandi
انفجاری	enfejari
معتضد	mootazed
زحمت	zahmat
وزوز	vezvez
خوکها	khoukha
پیشاهنگ	pishahang
بی‌هوا	bihava
سانتریول	santriyol
امیدبخشی	omidbakhshi
تزویج	tazvij
حجم‌سازی	hajmsazi
جایز	jayez
شاهین‌‌ویلا	shahinvila
جای	jay
لایه‌ای	layei
شیشه‌ای	shishei
متکا	motakka
مهام	mahamm
چند‌حلقه‌ای	chandhalghei
خانباجی	khanbaji
دگم	dogm
اندوهباری	andouhbari
آلبرکامو	alberkamo
دوبلور	doublor
والامقام	valamagham
آدینه	adine
بهینه‌سازی	behinesazi
فیروزبخت	firouzbakhsh
نیترید	nitrid
آگهی	agahi
پرآشوب	porashoub
پرت	part
بشکاف	beshkaf
فالگوش‌‌نشینی	falgoushneshini
دربرگیری	darbargiri
سوق‌‌الجیشی	sougholjeyshi
کنجدخوار	konjedkhar
خشایارشا	khashayarsha
خودفروخته	khodfouroukhte
معاهدات	moahedat
ترکیبی	tarkibi
گرگین	gorgin
تک‌ستاره	taksetare
قریه	gharie
تنبلی	tanbali
دیرین‌شناس	dirinshenas
تتمیم	tatmim
یخ‌سازی	yakhsazi
پیچید	pichid
امیدبخش	omidbakhsh
نفوذ‌ناپذیر	nofouznapazir
ستم	setam
ولایت‌عهدی	velayatahdi
دیوسالار	divsalar
سوداگر	soudagar
بروت	burout
مقراض	meghraz
مجتمع	mojtama
آخر	akhar
لغو	laghv
شمشیری	shamshiri
خاضعانه	khazeane
واحات	vahat
تایپی	taypi
مدل	model
اج	oj
اعضا	aza
قدسیت	ghodsieeat
ماژور	mazhor
کاهشی	kaheshi
بومادران	boumadaran
شاخ	shakh
کوچک‌‌جثه	kouchakjosse
مواجهه	movajehe
مخاطی	mokhati
تبیینی	tabyini
مورمور	murmur
صورتگر	suratgar
بمان	beman
زرده	zarde
ساسها	sasha
نسیان	nesyan
